,avg_salary,company,job title,location,company_type,company_sector,age,max_salary,title
105,50.0,AXA,Business Data Analyst - Operations,Puteaux,Company - Private,Insurance,38,60,junior
106,50.0,EssenceMediacom,Data Analyst,Paris,Company - Private,Media & Communication,37,60,junior
107,50.0,Rubix,Data Analyst - Lyon,Lyon,Company - Private,-1,-1,60,junior
108,50.0,Thales,Ingénieur Data Analyst F/H,Lille,Company - Public,Aerospace & Defense,23,60,junior
109,50.0,Framatome,Ingénieur R&D en matériaux - Data Science/Expérimentation F/H,Montbard,Company - Private,-1,-1,60,junior
110,50.0,Talent Solutions,Data Analyst H/F,Lyon,Subsidiary or Business Segment,Human Resources & Staffing,34,60,junior
111,50.0,Shift Technology,Graduate Data Scientist,Paris,Company - Private,Information Technology,9,60,junior
112,50.0,Insitoo,Data Scientist Sénior (H/F),Lyon,Company - Private,Human Resources & Staffing,16,60,junior
113,50.0,EY,Consultant Data Analyst Débutant F/H - Septembre 2022,Paris,Unknown,-1,-1,60,junior
114,50.0,mediametrie,CDI - Data Analyst/Scientist F/H,Paris,Company - Private,Media & Communication,38,60,junior
115,50.0,Visuary,Data Scientist,Paris,Company - Private,-1,-1,60,junior
116,50.0,John Cockerill,Data Scientist,Aspach-le-Haut,Company - Private,"Construction, Repair & Maintenance Services",206,60,junior
117,50.0,Mirakl - French,Data Analyst,Paris,Company - Private,Information Technology,12,60,junior
118,50.0,Cafeyn,Data Product Analyst,Paris,Company - Private,Media & Communication,16,60,junior
119,50.0,Pennylane,Data Analyst (remote),Paris,Company - Private,Information Technology,3,60,junior
120,55.0,Numberly,Marketing Data Analyst,Paris,Company - Public,Media & Communication,23,65,junior
121,55.0,Le Groupe La Poste,Data Analyst Export,Paris,Company - Private,Financial Services,32,65,junior
122,55.0,Numberly,Data Analyst Programmatic,Paris,Company - Public,Media & Communication,23,65,junior
123,55.0,Framatome,Ingénieur R&D en matériaux - Data Science/Expérimentation F/H,Montbard,Company - Private,-1,-1,65,junior
124,55.0,Clarins,CDD – CRM Data Analyst,Neuilly-sur-Seine,Company - Private,Manufacturing,69,65,junior
125,55.0,AXA,Business Data Analyst - Operations,Puteaux,Company - Private,Insurance,38,65,junior
126,55.0,SumUp,Product Data Analyst,Paris,Company - Private,Financial Services,11,65,junior
127,55.0,Thales,Ingénieur Data Analyst F/H,Lille,Company - Public,Aerospace & Defense,23,65,junior
128,55.0,CGI FINANCE,Product Data Analyst Senior,Lille,Company - Private,Financial Services,72,65,Senior
129,55.0,APRIL,Data Scientist,Lyon,Company - Public,Insurance,25,65,junior
130,55.0,EY,Consultant(e) / Manager - Data Analytics & Automatisation - FAAS - Lille - H/F,Lille,Unknown,-1,-1,65,junior
131,55.0,EY,Consultant Data Analyst Débutant F/H - Septembre 2022,Paris,Unknown,-1,-1,65,junior
132,55.0,mediametrie,CDI - Data Analyst/Scientist F/H,Paris,Company - Private,Media & Communication,38,65,junior
133,55.0,Mirakl - French,Data Analyst,Paris,Company - Private,Information Technology,12,65,junior
134,55.0,Insitoo,Data Scientist Sénior (H/F),Lyon,Company - Private,Human Resources & Staffing,16,65,junior
135,55.0,Generali France,DATA SCIENTIST,Saint-Denis,Company - Public,Insurance,192,65,junior
136,55.0,Rubix,Data Analyst - Lyon,Lyon,Company - Private,-1,-1,65,junior
137,55.0,Cafeyn,Data Product Analyst,Paris,Company - Private,Media & Communication,16,65,junior
138,55.0,Artefact,Data Scientist,Paris,Company - Private,Management & Consulting,9,65,junior
139,55.0,Akkodis,Ingénieur Data Scientist Junior H/F,Paris,Subsidiary or Business Segment,Human Resources & Staffing,29,65,junior
140,55.0,Moët Hennessy Wines & Spirits,Business Data Analyst,Paris,Subsidiary or Business Segment,Manufacturing,258,65,junior
141,55.0,Nexton Consulting FR,Business Analyst Data H/F,Paris,Company - Private,Management & Consulting,12,65,junior
